Região Política;Cidade e UF;Data Convênio;Data Denúncia
Centro-Oeste;Nova Xavantina - MT;28/05/2019;04/12/2023
Centro-Oeste;Novo Brasil - GO;09/02/2009;
Centro-Oeste;Novo Gama - GO;10/06/2014;03/12/2018
Centro-Oeste;Novo Horizonte do Norte - MT;11/04/2014;
Centro-Oeste;Novo Horizonte do Sul - MS;09/02/2009;
Centro-Oeste;Novo Mundo - MT;24/06/2009;03/12/2018
Centro-Oeste;Novo Mundo - MT;02/08/2019;
Centro-Oeste;Novo Planalto - GO;09/02/2009;03/12/2018
Centro-Oeste;Novo Planalto - GO;29/09/2021;
Centro-Oeste;Novo Santo Antônio - MT;28/05/2019;
Centro-Oeste;Novo São Joaquim - MT;09/02/2009;
Centro-Oeste;Orizona - GO;09/02/2009;03/12/2018
Centro-Oeste;Orizona - GO;28/05/2019;
Centro-Oeste;Ouro Verde de Goiás - GO;09/02/2009;
Centro-Oeste;Padre Bernardo - GO;04/09/2009;
Centro-Oeste;Palestina de Goiás - GO;10/10/2011;03/12/2018
Centro-Oeste;Palmeiras de Goiás - GO;11/11/2013;
Centro-Oeste;Palmelo - GO;07/06/2011;03/12/2018
Centro-Oeste;Palminópolis - GO;05/03/2009;03/12/2018
Centro-Oeste;Panamá - GO;09/02/2009;03/12/2018
Centro-Oeste;Paraíso das Águas - MS;22/04/2013;
Centro-Oeste;Paranaíba - MS;09/02/2009;
Centro-Oeste;Paranaiguara - GO;09/02/2009;03/12/2018
Centro-Oeste;Paranaiguara - GO;24/10/2019;
Centro-Oeste;Paranaíta - MT;06/08/2013;
Centro-Oeste;Paranatinga - MT;13/08/2009;
Centro-Oeste;Paranhos - MS;09/02/2009;23/12/2020
Centro-Oeste;Paraúna - GO;04/09/2009;
Centro-Oeste;Pedra Preta - MT;09/02/2009;03/12/2018
Centro-Oeste;Pedra Preta - MT;28/05/2019;
Centro-Oeste;Pedro Gomes - MS;05/03/2009;
Centro-Oeste;Peixoto de Azevedo - MT;04/09/2009;
Centro-Oeste;Perolândia - GO;16/06/2010;
Centro-Oeste;Petrolina de Goiás - GO;09/02/2009;03/12/2018
Centro-Oeste;Piracanjuba - GO;09/02/2009;
Centro-Oeste;Piranhas - GO;09/02/2009;
Centro-Oeste;Pires do Rio - GO;09/02/2009;
Centro-Oeste;Planaltina - GO;09/02/2009;
Centro-Oeste;Planalto da Serra - MT;12/09/2013;03/12/2018
Centro-Oeste;Poconé - MT;11/07/2013;
Centro-Oeste;Ponta Porã - MS;04/12/2008;
Centro-Oeste;Pontal do Araguaia - MT;07/06/2011;
Centro-Oeste;Pontalina - GO;14/10/2009;
Centro-Oeste;Ponte Branca - MT;19/06/2013;
Centro-Oeste;Pontes e Lacerda - MT;04/09/2009;
Centro-Oeste;Porangatu - GO;10/01/2012;
Centro-Oeste;Porteirão - GO;09/02/2009;
Centro-Oeste;Portelândia - GO;09/02/2009;23/12/2020
Centro-Oeste;Portelândia - GO;30/08/2021;
Centro-Oeste;Porto Alegre do Norte - MT;07/07/2011;03/12/2018
Centro-Oeste;Porto Alegre do Norte - MT;28/05/2019;
Centro-Oeste;Porto dos Gaúchos - MT;09/02/2009;
Centro-Oeste;Porto Esperidião - MT;11/07/2013;
Centro-Oeste;Porto Estrela - MT;28/05/2019;
Centro-Oeste;Porto Murtinho - MS;04/12/2008;
Centro-Oeste;Posse - GO;14/05/2014;03/12/2018
Centro-Oeste;Posse - GO;16/10/2020;
Centro-Oeste;Poxoréo - MT;11/07/2013;03/12/2018
Centro-Oeste;Poxoréo - MT;02/08/2019;
Centro-Oeste;Primavera do Leste - MT;09/02/2009;
Centro-Oeste;Professor Jamil - GO;09/02/2009;03/12/2018
Centro-Oeste;Querência - MT;09/02/2009;
Centro-Oeste;Quirinópolis - GO;07/01/2009;
Centro-Oeste;Reserva do Cabaçal - MT;04/08/2015;03/12/2018
Centro-Oeste;Reserva do Cabaçal - MT;28/05/2019;
Centro-Oeste;Ribas do Rio Pardo - MS;04/12/2008;
Centro-Oeste;Ribeirão Cascalheira - MT;28/05/2019;04/10/2023
Centro-Oeste;Ribeirãozinho - MT;19/06/2013;03/12/2018
Centro-Oeste;Ribeirãozinho - MT;02/08/2019;
Centro-Oeste;Rio Branco - MT;11/07/2014;
Centro-Oeste;Rio Brilhante - MS;04/12/2008;
Centro-Oeste;Rio Negro - MS;13/08/2009;
Centro-Oeste;Rio Quente - GO;05/03/2009;04/12/2020
Centro-Oeste;Rio Quente - GO;09/09/2021;
Centro-Oeste;Rio Verde - GO;09/02/2009;
Centro-Oeste;Rio Verde de Mato Grosso - MS;09/02/2009;
Centro-Oeste;Rochedo - MS;04/12/2008;
Centro-Oeste;Rondolândia - MT;11/11/2013;
Centro-Oeste;Rondonópolis - MT;13/08/2009;27/05/2022
Centro-Oeste;Rosário Oeste - MT;11/11/2009;03/12/2018
Centro-Oeste;Rosário Oeste - MT;02/08/2019;
Centro-Oeste;Rubiataba - GO;19/05/2009;03/12/2018
Centro-Oeste;Rubiataba - GO;28/01/2020;13/12/2021
Centro-Oeste;Rubiataba - GO;27/02/2023;
Centro-Oeste;Salto do Céu - MT;05/03/2009;
Centro-Oeste;Sanclerlândia - GO;16/10/2020;
Centro-Oeste;Santa Bárbara de Goiás - GO;02/02/2022;11/08/2023
Centro-Oeste;Santa Carmem - MT;11/11/2009;
Centro-Oeste;Santa Cruz de Goiás - GO;09/02/2009;
Centro-Oeste;Santa Cruz do Xingu - MT;10/12/2013;03/12/2018
Centro-Oeste;Santa Cruz do Xingu - MT;26/05/2022;
Centro-Oeste;Santa Fé de Goiás - GO;25/08/2010;04/12/2020
Centro-Oeste;Santa Fé de Goiás - GO;29/07/2021;
Centro-Oeste;Santa Helena de Goiás - GO;09/02/2009;
Centro-Oeste;Santa Rita do Araguaia - GO;12/09/2013;04/12/2020
Centro-Oeste;Santa Rita do Araguaia - GO;16/06/2021;
Centro-Oeste;Santa Rita do Novo Destino - GO;26/05/2022;
Centro-Oeste;Santa Rita do Pardo - MS;04/12/2008;
Centro-Oeste;Santa Rita do Trivelato - MT;04/09/2009;
Centro-Oeste;Santa Tereza de Goiás - GO;02/09/2015;04/12/2020
Centro-Oeste;Santa Tereza de Goiás - GO;16/06/2021;
Centro-Oeste;Santa Terezinha - MT;11/03/2013;03/12/2018
Centro-Oeste;Santa Terezinha - MT;30/08/2021;
Centro-Oeste;Santa Terezinha de Goiás - GO;04/08/2015;23/12/2020
Centro-Oeste;Santa Terezinha de Goiás - GO;02/02/2022;
Centro-Oeste;Santo Afonso - MT;14/04/2009;
Centro-Oeste;Santo Antônio da Barra - GO;04/09/2009;04/12/2020
Centro-Oeste;Santo Antônio da Barra - GO;25/04/2023;
Centro-Oeste;Santo Antônio de Goiás - GO;09/02/2009;04/12/2020
Centro-Oeste;Santo Antônio do Descoberto - GO;14/04/2009;03/12/2018
Centro-Oeste;Santo Antônio do Descoberto - GO;29/12/2022;
